0,dob,24/11/1987
1,dob,05/12/1994
2,dob,14/09/1986
3,dob,27/10/1986
4,dob,19/12/2023
5,dob,05/12/1970
6,dob,14/03/1986
7,dob,06/12/2021
8,dob,07/01/1986
9,dob,13/02/1985
10,dob,22/07/2010
0,name,george
1,name,chara
2,name,markos
3,name,constantinos
4,name,katia
5,name,simon
6,name,marinos
7,name,ioanna
8,name,christis
9,name,andreas
10,name,john
0,gender,male
1,gender,female
2,gender,male
3,gender,male
4,gender,female
5,gender,male
6,gender,male
7,gender,female
8,gender,male
9,gender,male
10,gender,male
